year,direction,count
2010,Natural Language Processing,499068
2011,Natural Language Processing,529781
2012,Natural Language Processing,541910
2013,Natural Language Processing,560616
2014,Natural Language Processing,572175
2015,Natural Language Processing,583628
2016,Natural Language Processing,588352
2017,Natural Language Processing,598959
2018,Natural Language Processing,670970
2019,Natural Language Processing,739221
2020,Natural Language Processing,798962
2021,Natural Language Processing,849120
2022,Natural Language Processing,835658
2023,Natural Language Processing,954785
2024,Natural Language Processing,904484
2025,Natural Language Processing,564185
2010,Large Language Models (LLM),1712
2011,Large Language Models (LLM),1995
2012,Large Language Models (LLM),2095
2013,Large Language Models (LLM),2149
2014,Large Language Models (LLM),2400
2015,Large Language Models (LLM),2447
2016,Large Language Models (LLM),2632
2017,Large Language Models (LLM),2787
2018,Large Language Models (LLM),3269
2019,Large Language Models (LLM),4134
2020,Large Language Models (LLM),5166
2021,Large Language Models (LLM),6394
2022,Large Language Models (LLM),8009
2023,Large Language Models (LLM),30993
2024,Large Language Models (LLM),72953
2025,Large Language Models (LLM),79145
2010,Vision-Language Models (VLM),1598
2011,Vision-Language Models (VLM),1766
2012,Vision-Language Models (VLM),1971
2013,Vision-Language Models (VLM),2087
2014,Vision-Language Models (VLM),2167
2015,Vision-Language Models (VLM),2219
2016,Vision-Language Models (VLM),2553
2017,Vision-Language Models (VLM),2995
2018,Vision-Language Models (VLM),3370
2019,Vision-Language Models (VLM),4071
2020,Vision-Language Models (VLM),4924
2021,Vision-Language Models (VLM),5925
2022,Vision-Language Models (VLM),7537
2023,Vision-Language Models (VLM),12492
2024,Vision-Language Models (VLM),16888
2025,Vision-Language Models (VLM),16410
2010,Video LLM,447
2011,Video LLM,535
2012,Video LLM,591
2013,Video LLM,732
2014,Video LLM,696
2015,Video LLM,855
2016,Video LLM,848
2017,Video LLM,941
2018,Video LLM,1159
2019,Video LLM,1495
2020,Video LLM,1857
2021,Video LLM,2400
2022,Video LLM,2843
2023,Video LLM,4896
2024,Video LLM,6462
2025,Video LLM,5382
2010,Retrieval-Augmented Generation (RAG),530
2011,Retrieval-Augmented Generation (RAG),557
2012,Retrieval-Augmented Generation (RAG),612
